DairyProduct_PackagingType,Quantity_Value,DairyProduct_IsInfantNutrition,SubBrandRu,Mass_Net,DairyProduct_ManufacturerTaxIdentifier,DairyProduct_IsUnderVeterinaryControl,DairyProduct_IsShelfLifeUpTo40Days,EnergyValueKJ,Manufacturer_Name,Provider_Name,Mass_Gross,GpcClass1,TnvedCode,Provider_GLN,GpcClass2,StorageConditions_ShelfLifeUnit,GpcClass3,DairyProduct_LabelName,EnergyValueKcal,AdditionalInfoRu,DairyProduct_ProteinContent,DairyProduct_FatContent,DairyProduct_PackagingMaterial,DairyProduct_ManufacturerCountry,Carbohydrates,DairyProduct_RawMaterialOrigin,StorageConditions_MaxRelativeHumidity,DairyProduct_IsMedicalOrSpecialDiet,StorageConditions_ShelfLife,DairyProduct_Type,StorageConditions_MaxStorageTemperature,BrandRu,FunctionNameRu,Protein,StorageConditions_MinStorageTemperature,GTIN,GpcClass4,StorageConditions_MinRelativeHumidity,Grease,Manufacturer_GLN,Quantity_Unit,ProductType
БУТЫЛКА,1030,False,Натуральное,990,123456789,True,False,203.54,ММЗ №1,ММЗ №1,1030,50000000,0401 20 110 9,4810000000006,50130000,D,50131700,"Беллакт Натуральное Простокваша пастеризованное, массовая доля жира 4.87 %, полиэтиленовая пленка",70.75,Интеграция эффективных инфраструктур,4.14,4.87,LLDPE,112,2.14,КОРОВА,71,False,11,Простокваша,19,Беллакт,Простокваша,1.29,5,481345271480744,10000025,20,4.66,4810000000006,ML,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1851,False,Фитнес,1826,123456789,False,False,375.62,ММЗ №1,ММЗ №1,1851,50000000,0401 20 110 9,4810000000006,50130000,D,50131700,"Верхнедвинский Фитнес Творог пастеризованное, массовая доля жира 3.49 %, полиэтиленовая пленка",72.85,Визуализация круглогодичных действий,2.78,3.49,ПЛАСТМАССА,112,8.23,КОРОВА,75,False,1,Творог,16,Верхнедвинский,Творог,3.27,3,481361310498123,10000025,7,4.41,4810000000006,GR,Consumer unit [CU]
ПАКЕТ,1468,False,Медовое,1445,123456789,False,False,246.88,ММЗ №1,ММЗ №1,1468,50000000,0401 20 110 9,4810000000006,50130000,D,50131700,"Коровкино Медовое Глазированные сырки пастеризованное, массовая доля жира 4.07 %, полиэтиленовая пленка",59.66,Модернизация действенных веб-сервисов,3.73,4.07,ПЛАСТМАССА,112,9.01,КОРОВА,94,False,26,Глазированные сырки,15,Коровкино,Глазированные сырки,4.74,3,481422522553060,10000025,15,1.05,4810000000006,GR,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1190,False,Фитнес,1157,123456789,True,False,212.22,Молочный Мир,Молочный Мир,1190,50000000,0401 20 110 9,4810000000004,50130000,D,50131700,"Беллакт Фитнес Сыр пастеризованное, массовая доля жира 1.71 %, полиэтиленовая пленка",93.82,Ускорение B2C интернет-компаний,3.81,1.71,ПЛАСТМАССА,112,4.12,КОРОВА,63,False,5,Сыр,13,Беллакт,Сыр,2.26,1,481320762521376,10000025,3,1.02,4810000000004,GR,Consumer unit [CU]
ПАКЕТ,1910,False,Экстра,1891,123456789,False,False,280.29,Лидский МКК,Лидский МКК,1910,50000000,0401 20 110 9,4810000000005,50130000,D,50131700,"Несвижский Экстра Простокваша пастеризованное, массовая доля жира 3.14 %, полиэтиленовая пленка",44.01,Преображение престижных сообществ,2.48,3.14,ПЛАСТМАССА,112,3.55,КОРОВА,85,False,19,Простокваша,18,Несвижский,Простокваша,4.97,1,481469871917602,10000025,29,2.32,4810000000005,ML,Consumer unit [CU]
БАНКА НЕМЕТАЛЛИЧЕСКАЯ,1011,False,Лактозафри,981,123456789,False,False,200.17,Бабушкина крынка,Бабушкина крынка,1011,50000000,0401 20 110 9,4810000000003,50130000,D,50131700,"Пружанский Лактозафри Йогурт пастеризованное, массовая доля жира 3.8 %, полиэтиленовая пленка",48.79,Переход престижных инфраструктур,3.11,3.8,ПЛАСТМАССА,112,7.35,КОРОВА,94,False,3,Йогурт,12,Пружанский,Йогурт,2.78,4,481152952694440,10000025,35,2.8,4810000000003,GR,Consumer unit [CU]
ПАКЕТ,1719,False,Пробиотик,1704,123456789,True,False,309.68,Молочные горки,Молочные горки,1719,50000000,0401 20 110 9,4810000000017,50130000,D,50131700,"Бабушкина крынка Пробиотик Сыр пастеризованное, массовая доля жира 2.44 %, полиэтиленовая пленка",70.3,Переосмысление активных инфопосредников,2.11,2.44,ПЛАСТМАССА,112,5.5,КОРОВА,68,False,21,Сыр,16,Бабушкина крынка,Сыр,1.23,6,481151574973296,10000025,31,4.02,4810000000017,GR,Consumer unit [CU]
ПАКЕТ,1681,False,Йогуртовое,1664,123456789,True,False,368.09,Савушкин продукт,Савушкин продукт,1681,50000000,0401 20 110 9,4810000000001,50130000,D,50131700,"Молочные горки Йогуртовое Масло пастеризованное, массовая доля жира 4.82 %, полиэтиленовая пленка",49.92,Переосмысление распространенных каналов,1.96,4.82,ПЛАСТМАССА,112,6.83,КОРОВА,87,False,14,Масло,15,Молочные горки,Масло,4.8,0,481539707732272,10000025,8,2.89,4810000000001,GR,Consumer unit [CU]
ПАКЕТ,1117,False,Легкое,1093,123456789,False,False,323.34,Калинковичский МК,Калинковичский МК,1117,50000000,0401 20 110 9,4810000000013,50130000,D,50131700,"Милкавита Легкое Простокваша пастеризованное, массовая доля жира 2.62 %, полиэтиленовая пленка",70.87,Интеграция масштабируемых технологий,2.97,2.62,ПЛАСТМАССА,112,4.65,КОРОВА,67,False,30,Простокваша,15,Милкавита,Простокваша,4.17,1,481821594345537,10000025,11,3.85,4810000000013,ML,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1358,False,Экстра,1338,123456789,False,False,329.51,ММЗ №1,ММЗ №1,1358,50000000,0401 20 110 9,4810000000006,50130000,D,50131700,"ММЗ №1 Экстра Творог пастеризованное, массовая доля жира 3.18 %, полиэтиленовая пленка",49.83,Культивация безотказных парадигм,2.66,3.18,ПЛАСТМАССА,112,7.92,КОРОВА,76,False,26,Творог,14,ММЗ №1,Творог,2.14,8,481478768593393,10000025,18,3.59,4810000000006,GR,Consumer unit [CU]
ПАКЕТ,1900,False,Ягодное,1883,123456789,False,False,195.72,Верхнедвинский МСЗ,Верхнедвинский МСЗ,1900,50000000,0401 20 110 9,4810000000020,50130000,D,50131700,"Рогачевский Ягодное Творог пастеризованное, массовая доля жира 4.61 %, полиэтиленовая пленка",55.76,Генерация действенных интернет-магазинов,1.97,4.61,ПЛАСТМАССА,112,4.42,КОРОВА,57,True,24,Творог,18,Рогачевский,Творог,3.49,8,481207905782396,10000025,9,3.12,4810000000020,GR,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1939,False,Свежее,1920,123456789,False,False,317.84,Калинковичский МК,Калинковичский МК,1939,50000000,0401 20 110 9,4810000000013,50130000,D,50131700,"Лидский Свежее Сыр пастеризованное, массовая доля жира 2.98 %, полиэтиленовая пленка",54.58,Внедрение эффективных инициатив,2.58,2.98,ПЛАСТМАССА,112,9.75,КОРОВА,91,False,7,Сыр,13,Лидский,Сыр,3.07,9,481409953264226,10000025,17,3.93,4810000000013,GR,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1000,False,Фруктовое,974,123456789,True,False,221.03,Пружанский МЗ,Пружанский МЗ,1000,50000000,0401 20 110 9,4810000000018,50130000,D,50131700,"Молочный Мир Фруктовое Сметана пастеризованное, массовая доля жира 1.01 %, полиэтиленовая пленка",86.64,Реализация круглосуточных метрик,2.78,1.01,ПЛАСТМАССА,112,6.36,КОРОВА,67,False,18,Сметана,10,Молочный Мир,Сметана,1.02,9,481656794063793,10000025,30,2.72,4810000000018,GR,Consumer unit [CU]
ПАКЕТ,1458,False,Фермерское,1420,123456789,False,False,257.82,Пружанский МЗ,Пружанский МЗ,1458,50000000,0401 20 110 9,4810000000018,50130000,D,50131700,"Глубокский Фермерское Простокваша пастеризованное, массовая доля жира 2.03 %, полиэтиленовая пленка",60.31,Обеспечение мультимедийных веб-сервисов,1.5,2.03,ПЛАСТМАССА,112,8.09,КОРОВА,86,False,26,Простокваша,11,Глубокский,Простокваша,4.89,9,481860722770486,10000025,49,1.26,4810000000018,ML,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1019,True,Ягодное,1004,123456789,False,False,359.72,Пружанский МЗ,Пружанский МЗ,1019,50000000,0401 20 110 9,4810000000018,50130000,D,50131700,"ММЗ №1 Ягодное Масло пастеризованное, массовая доля жира 2.06 %, полиэтиленовая пленка",73.23,Конструирование инновационных интернет-компаний,3.36,2.06,ПЛАСТМАССА,112,5.44,КОРОВА,98,False,12,Масло,17,ММЗ №1,Масло,3.36,2,481617923213428,10000025,43,3.34,4810000000018,GR,Consumer unit [CU]
БУТЫЛКА,1190,False,Фруктовое,1159,123456789,False,False,332.49,Калинковичский МК,Калинковичский МК,1190,50000000,0401 20 110 9,4810000000013,50130000,D,50131700,"Бабушкина крынка Фруктовое Молоко пастеризованное, массовая доля жира 3.84 %, полиэтиленовая пленка",97.5,Развитие мультимедийных приложений,1.79,3.84,ПЛАСТМАССА,112,2.36,КОРОВА,67,False,12,Молоко,14,Бабушкина крынка,Молоко,1.88,3,481169931725030,10000025,1,2.31,4810000000013,ML,Consumer unit [CU]
БУТЫЛКА,1164,False,Свежее,1148,123456789,True,False,312.46,Верхнедвинский МСЗ,Верхнедвинский МСЗ,1164,50000000,0401 20 110 9,4810000000020,50130000,D,50131700,"Молочный гостинец Свежее Молоко пастеризованное, массовая доля жира 3.57 %, полиэтиленовая пленка",74.75,Максимизация популярных платформ,3.12,3.57,ПЛАСТМАССА,112,3.24,КОРОВА,57,False,20,Молоко,19,Молочный гостинец,Молоко,4.69,7,481545508430579,10000025,50,4.77,4810000000020,ML,Consumer unit [CU]
БУТЫЛКА,1318,False,Фруктовое,1298,123456789,True,False,257.93,Кобринский МСЗ,Кобринский МСЗ,1318,50000000,0401 20 110 9,4810000000012,50130000,D,50131700,"Молочный Мир Фруктовое Простокваша пастеризованное, массовая доля жира 3.35 %, полиэтиленовая пленка",63.63,Визуализация прозрачных партнерств,4.14,3.35,ПЛАСТМАССА,112,2.91,КОРОВА,76,False,30,Простокваша,11,Молочный Мир,Простокваша,3.84,0,481272351692340,10000025,24,2.44,4810000000012,ML,Consumer unit [CU]
ПАКЕТ,1031,True,Эко,1000,123456789,True,False,379.72,Молочный гостинец,Молочный гостинец,1031,50000000,0401 20 110 9,4810000000019,50130000,D,50131700,"Калинковичский Эко Простокваша пастеризованное, массовая доля жира 1.74 %, полиэтиленовая пленка",73.2,Оптимизация индивидуальных схем,1.81,1.74,ПЛАСТМАССА,112,9.05,КОРОВА,58,False,25,Простокваша,17,Калинковичский,Простокваша,2.0,3,481640569729717,10000025,27,3.34,4810000000019,ML,Consumer unit [CU]
ПАКЕТ,1745,False,Классическое,1707,123456789,True,False,318.01,Несвижский завод детского питания,Несвижский завод детского питания,1745,50000000,0401 20 110 9,4810000000016,50130000,D,50131700,"Молочный гостинец Классическое Творог пастеризованное, массовая доля жира 1.84 %, полиэтиленовая пленка",59.59,Формирование прибыльных технологий,4.4,1.84,ПЛАСТМАССА,112,5.16,КОРОВА,71,False,7,Творог,19,Молочный гостинец,Творог,3.49,4,481475880994079,10000025,17,3.62,4810000000016,GR,Consumer unit [CU]
БУТЫЛКА,1566,False,Йогуртовое,1539,123456789,False,True,268.31,Лидский МКК,Лидский МКК,1566,50000000,0401 20 110 9,4810000000005,50130000,D,50131700,"Молочный Мир Йогуртовое Кефир пастеризованное, массовая доля жира 2.77 %, полиэтиленовая пленка",50.68,Трансформация беспроводных интернет-услуг,1.06,2.77,ПЛАСТМАССА,112,9.73,КОРОВА,72,False,3,Кефир,11,Молочный Мир,Кефир,1.4,9,481390351016274,10000025,13,3.61,4810000000005,ML,Consumer unit [CU]
ПАКЕТ,1392,False,Классическое,1352,123456789,False,False,338.98,Кобринский МСЗ,Кобринский МСЗ,1392,50000000,0401 20 110 9,4810000000012,50130000,D,50131700,"Кобринский Классическое Молоко пастеризованное, массовая доля жира 2.43 %, полиэтиленовая пленка",58.74,Переосмысление фронт-энд порталов,4.55,2.43,ПЛАСТМАССА,112,6.66,КОРОВА,93,True,23,Молоко,20,Кобринский,Молоко,1.52,8,481449019107979,10000025,21,3.39,4810000000012,ML,Consumer unit [CU]
БАНКА НЕМЕТАЛЛИЧЕСКАЯ,1015,False,Сырое,975,123456789,False,False,217.88,ММЗ №1,ММЗ №1,1015,50000000,0401 20 110 9,4810000000006,50130000,D,50131700,"Верхнедвинский Сырое Йогурт пастеризованное, массовая доля жира 1.25 %, полиэтиленовая пленка",96.96,Развитие концептуальных моделей,1.45,1.25,ПЛАСТМАССА,112,4.96,КОРОВА,75,False,19,Йогурт,15,Верхнедвинский,Йогурт,1.27,4,481832856974495,10000025,13,2.5,4810000000006,GR,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1774,False,Фитнес,1758,123456789,True,False,256.33,Молочный гостинец,Молочный гостинец,1774,50000000,0401 20 110 9,4810000000019,50130000,D,50131700,"Пружанский Фитнес Сметана пастеризованное, массовая доля жира 4.55 %, полиэтиленовая пленка",91.29,Революция веб-ориентированных парадигм,3.27,4.55,ПЛАСТМАССА,112,9.87,КОРОВА,94,False,24,Сметана,10,Пружанский,Сметана,1.54,0,481764888669078,10000025,42,1.99,4810000000019,GR,Consumer unit [CU]
ПАКЕТ,991,False,Лактозафри,955,123456789,False,False,315.49,ММЗ №1,ММЗ №1,991,50000000,0401 20 110 9,4810000000006,50130000,D,50131700,"Верхнедвинский Лактозафри Глазированные сырки пастеризованное, массовая доля жира 4.2 %, полиэтиленовая пленка",95.74,Разработка критически важных каналов,1.68,4.2,ПЛАСТМАССА,112,5.35,КОРОВА,71,False,26,Глазированные сырки,20,Верхнедвинский,Глазированные сырки,2.84,5,481857228060131,10000025,21,3.07,4810000000006,GR,Consumer unit [CU]
БУТЫЛКА,1086,False,Фермерское,1064,123456789,False,False,293.56,Пружанский МЗ,Пружанский МЗ,1086,50000000,0401 20 110 9,4810000000018,50130000,D,50131700,"Кобринский Фермерское Сливки пастеризованное, массовая доля жира 1.32 %, полиэтиленовая пленка",53.49,Обеспечение прозрачных архитектур,2.01,1.32,ПЛАСТМАССА,112,2.45,КОРОВА,76,False,15,Сливки,15,Кобринский,Сливки,1.99,4,481909440815800,10000025,2,4.18,4810000000018,ML,Consumer unit [CU]
БУТЫЛКА,1172,False,Натуральное,1133,123456789,True,False,198.25,Лидский МКК,Лидский МКК,1172,50000000,0401 20 110 9,4810000000005,50130000,D,50131700,"ММЗ №1 Натуральное Простокваша пастеризованное, массовая доля жира 1.07 %, полиэтиленовая пленка",61.96,Интеграция концептуальных партнерств,3.86,1.07,ПЛАСТМАССА,112,8.76,КОРОВА,93,True,9,Простокваша,18,ММЗ №1,Простокваша,1.96,10,481601687097061,10000025,18,4.29,4810000000005,ML,Consumer unit [CU]
БУТЫЛКА,1953,False,Пробиотик,1930,123456789,True,False,230.09,Туровский МК,Туровский МК,1953,50000000,0401 20 110 9,4810000000009,50130000,D,50131700,"Молочный гостинец Пробиотик Простокваша пастеризованное, массовая доля жира 3.69 %, полиэтиленовая пленка",97.01,Формирование открытых пользователей,3.75,3.69,ПЛАСТМАССА,112,4.21,КОРОВА,53,False,3,Простокваша,11,Молочный гостинец,Простокваша,3.32,0,481500349144176,10000025,14,4.94,4810000000009,ML,Consumer unit [CU]
ПАКЕТ,1176,False,Фермерское,1156,123456789,True,True,203.73,Туровский МК,Туровский МК,1176,50000000,0401 20 110 9,4810000000009,50130000,D,50131700,"Бабушкина крынка Фермерское Кефир пастеризованное, массовая доля жира 4.38 %, полиэтиленовая пленка",57.78,Трансформация кроссплатформенных решений,1.32,4.38,ПЛАСТМАССА,112,1.4,КОРОВА,70,False,8,Кефир,12,Бабушкина крынка,Кефир,3.8,8,481497906808224,10000025,38,2.03,4810000000009,ML,Consumer unit [CU]
ПАКЕТ,2005,False,Свежее,1985,123456789,True,False,399.21,Бабушкина крынка,Бабушкина крынка,2005,50000000,0401 20 110 9,4810000000003,50130000,D,50131700,"Молодечненский Свежее Творог пастеризованное, массовая доля жира 2.2 %, полиэтиленовая пленка",60.03,Продление глобальных приложений,3.55,2.2,ПЛАСТМАССА,112,1.87,КОРОВА,98,False,25,Творог,19,Молодечненский,Творог,4.03,1,481683736906785,10000025,43,4.18,4810000000003,GR,Consumer unit [CU]
ПАКЕТ,1604,True,Йогуртовое,1588,123456789,False,False,212.87,Беллакт,Беллакт,1604,50000000,0401 20 110 9,4810000000008,50130000,D,50131700,"Рогачевский Йогуртовое Сыр пастеризованное, массовая доля жира 4.5 %, полиэтиленовая пленка",89.35,Культивация стратегических веб-сервисов,2.69,4.5,ПЛАСТМАССА,112,8.18,КОРОВА,84,False,12,Сыр,15,Рогачевский,Сыр,3.93,8,481261160556631,10000025,4,3.59,4810000000008,GR,Consumer unit [CU]
ПАКЕТ,1656,False,Фитнес,1629,123456789,False,False,237.19,Савушкин продукт,Савушкин продукт,1656,50000000,0401 20 110 9,4810000000001,50130000,D,50131700,"Молочные горки Фитнес Масло пастеризованное, массовая доля жира 4.55 %, полиэтиленовая пленка",58.41,Внедрение виртуальных решений,2.44,4.55,ПЛАСТМАССА,112,9.11,КОРОВА,76,False,12,Масло,14,Молочные горки,Масло,4.13,5,481124885137578,10000025,40,3.11,4810000000001,GR,Consumer unit [CU]
БУТЫЛКА,1490,False,Фермерское,1466,123456789,False,False,233.98,Слуцкий СК,Слуцкий СК,1490,50000000,0401 20 110 9,4810000000002,50130000,D,50131700,"Милкавита Фермерское Сливки пастеризованное, массовая доля жира 1.53 %, полиэтиленовая пленка",98.33,Культивация инновационных сетей,1.77,1.53,ПЛАСТМАССА,112,9.18,КОРОВА,51,False,20,Сливки,16,Милкавита,Сливки,4.61,3,481282985738053,10000025,11,3.08,4810000000002,ML,Consumer unit [CU]
ПАКЕТ,1769,False,Йогуртовое,1742,123456789,False,False,233.94,Туровский МК,Туровский МК,1769,50000000,0401 20 110 9,4810000000009,50130000,D,50131700,"Несвижский Йогуртовое Кефир пастеризованное, массовая доля жира 2.23 %, полиэтиленовая пленка",64.07,Мотивация действенных инфопосредников,4.13,2.23,ПЛАСТМАССА,112,3.79,КОРОВА,70,False,14,Кефир,15,Несвижский,Кефир,1.17,5,481851757145927,10000025,38,3.11,4810000000009,ML,Consumer unit [CU]
ТЕРМОУСАДОЧНАЯ/УСАДОЧНАЯ УПАКОВКА,1325,False,Ягодное,1286,123456789,False,False,169.38,Слуцкий СК,Слуцкий СК,1325,50000000,0401 20 110 9,4810000000002,50130000,D,50131700,"ММЗ №1 Ягодное Творог пастеризованное, массовая доля жира 4.15 %, полиэтиленовая пленка",94.29,Интеграция лучших в своём роде аудиторий,3.04,4.15,ПЛАСТМАССА,112,2.37,КОРОВА,88,False,29,Творог,11,ММЗ №1,Творог,3.2,0,481552271363954,10000025,14,4.66,4810000000002,GR,Consumer unit [CU]
БАНКА НЕМЕТАЛЛИЧЕСКАЯ,1788,False,Пробиотик,1764,123456789,False,False,176.83,Верхнедвинский МСЗ,Верхнедвинский МСЗ,1788,50000000,0401 20 110 9,4810000000020,50130000,D,50131700,"Молочный Мир Пробиотик Йогурт пастеризованное, массовая доля жира 1.7 %, полиэтиленовая пленка",86.77,Преображение соблазнительных парадигм,1.36,1.7,ПЛАСТМАССА,112,4.51,КОРОВА,91,False,5,Йогурт,16,Молочный Мир,Йогурт,2.78,9,481587141701929,10000025,50,1.02,4810000000020,GR,Consumer unit [CU]
ПАКЕТ,1496,False,Классическое,1477,123456789,False,False,273.71,Бабушкина крынка,Бабушкина крынка,1496,50000000,0401 20 110 9,4810000000003,50130000,D,50131700,"ММЗ №1 Классическое Масло пастеризованное, массовая доля жира 2.29 %, полиэтиленовая пленка",97.28,Формирование инновационных ниш,4.43,2.29,ПЛАСТМАССА,112,9.53,КОРОВА,90,False,21,Масло,18,ММЗ №1,Масло,1.61,4,481472935948648,10000025,34,4.95,4810000000003,GR,Consumer unit [CU]
ПАКЕТ,1857,False,Ягодное,1832,123456789,True,False,383.3,Молочные горки,Молочные горки,1857,50000000,0401 20 110 9,4810000000017,50130000,D,50131700,"Коровкино Ягодное Молоко пастеризованное, массовая доля жира 4.54 %, полиэтиленовая пленка",83.79,Объединение кроссплатформенных результатов,3.97,4.54,ПЛАСТМАССА,112,3.82,КОРОВА,66,False,20,Молоко,16,Коровкино,Молоко,4.34,3,481720983148937,10000025,50,1.77,4810000000017,ML,Consumer unit [CU]
БУТЫЛКА,1275,False,Фитнес,1247,123456789,True,False,306.86,Кобринский МСЗ,Кобринский МСЗ,1275,50000000,0401 20 110 9,4810000000012,50130000,D,50131700,"Калинковичский Фитнес Сливки пастеризованное, массовая доля жира 3.11 %, полиэтиленовая пленка",60.31,Итерация виртуальных каналов,2.48,3.11,ПЛАСТМАССА,112,2.26,КОРОВА,58,False,19,Сливки,12,Калинковичский,Сливки,4.53,6,481511042251867,10000025,31,1.24,4810000000012,ML,Consumer unit [CU]
